ID,Title,Author,Year,Format,File
1,Aplikasi Teknologi Informasi: Teori dan Implementasi,Ramen A. Purba dkk,2020,PDF,ebook/SEMM-SURAT EDARAN KULIAH ONLINE_250831_1945.pdf
2,Si Anak Pelangi,Tere Liye,2019,PDF,ebook/Si Anak Pelangi by Tere Liye.pdf
3,Supernova Petir,Dee lestari,2004,PDF,ebook/Supernova Petir by Dee Lestari.pdf
4,Supernova Partikel,Dee Lestari,2012,PDF,ebook/Supernova Partikel by Dee Lestari.pdf
5,Rembulan Tenggelam Di Wajahmu,Tere Liye,2009,PDF,ebook/Rembulan Tenggelam Di Wajahmu by Tere Liye.pdf
6,Kau Aku Dan Sepucuk Angpau Merah,Tere liye,2012,PDF,ebook/Kau, Aku, Dan Sepucuk Angpau Merah by Tere Liye.pdf
7,Garis Waktu,Fiersa Besari,2016,PDF,ebook/Garis Waktu by Fiersa Besari.pdf
8,Dilan 1990,Pidi Baiq,2014,PDF,ebook/Dilan 1 by Pidi Baiq.pdf
9,Arah Langkah,Fiersa besari,2018,PDF,ebook/Arah Langkah by Fiersa Besari.pdf
10,11-11,Fiersa besari,2018,PDF,ebook/11-11 by Fiersa Besari.pdf
11,Resume Kuliah Umum,Narendra Adviasa,2025,PDF,ebook/Resume Kuliah Umum - Narendra(093).pdf
